Evento,Jet.Size,Jet.PT,Jet.Eta,Jet.Phi
0,1,24.1125,-2.51082,-2.74686
3,1,23.1244,2.27499,-0.238238
4,1,24.3717,-1.46633,-2.31007
5,1,25.585,3.71224,2.37981
6,1,22.8614,0.50195,0.975543
8,1,22.7354,-1.19723,-0.917389
9,3,49.6583,3.39657,1.45091
9,3,34.5821,1.58898,2.86155
9,3,32.8513,2.80015,-0.601004
10,2,45.2742,-0.825306,1.30932
10,2,30.8918,0.152486,-1.9559
13,1,29.9202,-1.70289,3.05537
14,1,43.067,2.13282,1.54503
15,1,21.7817,-4.18066,1.71542
16,1,27.2657,-2.61899,1.1625
17,3,38.7874,-1.87459,0.435276
17,3,33.2912,-2.29911,-2.06486
17,3,24.6233,-0.168231,2.57996
18,1,24.1133,0.179242,-1.91457
21,1,27.1022,-0.883359,-0.922712
23,2,25.1055,-2.27031,-0.00685831
23,2,23.5517,1.89148,1.69061
28,1,22.7044,1.57774,-2.10937
30,2,24.474,0.0125431,2.96042
30,2,23.7633,0.471068,-2.49385
32,1,25.3764,2.40628,2.15506
33,1,30.3561,2.50744,1.37499
36,2,26.8649,0.56628,1.23155
36,2,25.7588,0.138097,-1.69193
38,1,26.0526,0.472262,-2.97407
44,1,38.8273,3.79134,0.724232
49,3,36.2603,1.49189,-0.249147
49,3,30.6593,0.305225,2.49234
49,3,25.5425,0.907702,2.66279
52,2,24.8213,0.11325,0.283349
52,2,22.9238,-0.965803,-2.24291
54,3,27.8044,-3.14979,-0.218331
54,3,24.7987,0.069142,1.9501
54,3,22.2011,-3.58333,2.44993
56,1,28.0127,3.88878,-0.873077
58,2,24.9504,0.0194504,1.39599
58,2,24.8872,-0.984985,-1.57855
59,1,42.1312,-3.26204,-1.38453
62,1,24.6934,-2.70379,-1.77189
67,1,22.1164,-4.81583,2.45431
70,2,23.9108,0.475662,2.84079
70,2,23.7256,-0.729093,-0.542684
73,3,33.2554,-2.6982,0.734045
73,3,28.0978,-0.0414096,2.8685
73,3,25.7512,0.181627,-0.831767
75,2,33.8306,-1.12129,0.208159
75,2,30.6623,-2.3699,2.95154
76,1,22.7472,2.43448,2.75589
80,2,54.4473,-3.47438,2.39572
80,2,30.3324,0.56741,-0.29468
82,1,26.0756,0.567524,-0.0332818
83,2,23.5972,2.86518,2.40347
83,2,22.5668,2.2944,-1.67595
84,1,31.1707,1.66169,-0.0833326
85,2,50.7057,-0.839556,1.65272
85,2,48.8759,-3.35619,-1.9515
87,1,29.4315,-0.572535,2.89627
90,2,29.6019,2.40309,-0.295419
90,2,23.9672,-1.13291,3.04661
91,1,27.7908,3.63193,-0.87483
93,1,23.1667,0.0731377,-2.06911
94,3,53.4654,1.48949,-2.71008
94,3,36.5823,2.33851,1.12841
94,3,25.5075,1.28112,-0.288606
95,3,70.4668,-0.194981,-2.91628
95,3,34.992,-1.17179,-0.258714
95,3,25.8523,0.99227,-1.04678
97,1,27.6943,0.710896,0.0510767
99,1,26.2355,2.90161,-2.23293
